Village ID,Village_Hameaux,Quartier,Concession,Menage,ID,Nom,Date de naissance,Age,Sexe,Lien de parente,CHW,Zone,Phone
56,Dori,Anikasamma,0001,01,56000101000,Koiry soyyi,1947,68,homme,chef de menage,Nadida S NKRUMAH,2,+23383119132
56,Dori,Anikasamma,0001,01,56000101001,Djeneba Guindo,2000,16,femme,Neveu/Niece,Nadida S NKRUMAH,2,77369311
56,Dori,Anikasamma,0001,01,56000101002,Anta guindo,1990,26,femme,Neveu/Niece,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0002,01,56000201000,Misaja soyyi,1963,52,homme,chef de menage,Habiba S YOSSI,2
56,Dori,Anikasamma,0002,03,56000203001,Soma Guindo,1993,23,homme,Aucun,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0002,03,56000203100,Dina soyyi,1980,36,femme,fils/fille,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0002,03,56000203101,Rumar soyyi,2012,4,homme,Fils/Fille,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0003,01,56000301000,Odusa Soyyi,1963,52,homme,chef de menage,Habiba S YOSSI,2
56,Dori,Anikasamma,0003,01,56000301100,Miram Soyyi,1982,34,femme,Epoux,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0003,01,56000301101,Mariam Soyyi,2014,2,femme,Fils/Fille,Nadida S NKRUMAH,2
56,Dori,Anikasamma,0003,01,56000301102,Kabary Soyyi,2011,5,homme,Fils/Fille,Nadida S NKRUMAH,2
56,Dori,Dalepa 1,0020,01,56002001000,Odusa soyyi,1976,39,homme,chef de menage,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0020,01,56002001001,Dihara konate,2012,4,femme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0022,01,56002201000,Momar Soyyi,1961,54,homme,chef de menage,Sanaba SOUNTOURA,3
56,Dori,Dalepa 1,0022,01,56002201200,Diara Thera,1976,40,femme,Epoux,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0022,01,56002201201,Emena Soyyi,2005,11,homme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0022,01,56002201202,Dahmo Soyyi,1996,20,homme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0022,01,56002201203,Sékou Soyyi,1991,25,homme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0022,01,56002201300,Ibana N'Kidé,1986,30,femme,Epoux,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0023,01,56002301000,Imani kroti soyyi,1984,31,homme,chef de menage,Sanaba SOUNTOURA,3,+22375015651
56,Dori,Dalepa 1,0023,01,56002301104,Momar soyyi,6/9/16,0,homme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0023,02,56002302000,Soma malle,1984,31,homme,chef de menage,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0023,02,56002302001,Diana ouatara,2004,12,femme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0023,02,56002302002,Ibaka bouaree,1999,17,homme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0024,01,56002401000,Soma annan,1974,41,homme,chef de menage,Sanaba SOUNTOURA,3
56,Dori,Dalepa 1,0024,01,56002401101,Bekali annan,2015,1,femme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0024,01,56002401102,Sawa annan,2014,2,femme,Fils/Fille,Nabasa KUFUOR,3
56,Dori,Dalepa 1,0024,01,56002401103,Mirisam annan,2007,9,femme,Fils/Fille,Nabasa KUFUOR,3
